	sub	emotion	tk	intensity	score
0	01	anger	Darwin	1	0.5210843373493975
1	01	disgust	Darwin	1	0.650860456416012
2	01	fear	Darwin	1	0.5457878090856815
3	01	happy	Darwin	1	0.6218857142857143
4	01	sadness	Darwin	1	0.630656108597285
5	01	surprise	Darwin	1	0.7082744821092278
6	01	anger	Matsumoto2008	1	0.5925566673473556
7	01	disgust	Matsumoto2008	1	0.6342124953236064
8	01	fear	Matsumoto2008	1	0.6397354801610121
9	01	happy	Matsumoto2008	1	0.6148571428571428
10	01	sadness	Matsumoto2008	1	0.6165158371040724
11	01	surprise	Matsumoto2008	1	0.7725988700564971
12	01	anger	Keltner2019	1	0.5065346130283848
13	01	disgust	Keltner2019	1	0.5462962962962963
14	01	fear	Keltner2019	1	0.5759775733179989
15	01	happy	Keltner2019	1	0.5857714285714285
16	01	sadness	Keltner2019	1	0.7330316742081449
17	01	surprise	Keltner2019	1	0.7322269303201507
18	01	anger	Cordaro2008ref	1	0.585868899326118
19	01	disgust	Cordaro2008ref	1	0.6740553684998128
20	01	fear	Cordaro2008ref	1	0.5455721679125934
21	01	happy	Cordaro2008ref	1	0.6158285714285714
22	01	sadness	Cordaro2008ref	1	0.4321266968325792
23	01	surprise	Cordaro2008ref	1	0.73340395480226
24	01	anger	Ekman	1	0.5830100061261998
25	01	disgust	Ekman	1	0.5698653198653199
26	01	fear	Ekman	1	0.6338412880966073
27	01	happy	Ekman	1	0.6091428571428572
28	01	sadness	Ekman	1	0.6832579185520362
29	01	surprise	Ekman	1	0.729343220338983
30	02	anger	Darwin	1	0.5706102540834845
31	02	disgust	Darwin	1	0.5760084721286222
32	02	fear	Darwin	1	0.46232755571276973
33	02	happy	Darwin	1	0.6500744047619048
34	02	sadness	Darwin	1	0.5867701102490813
35	02	surprise	Darwin	1	0.7825873697118331
36	02	anger	Matsumoto2008	1	0.607815335753176
37	02	disgust	Matsumoto2008	1	0.5818811976509098
38	02	fear	Matsumoto2008	1	0.6795189246551114
39	02	happy	Matsumoto2008	1	0.6889880952380952
40	02	sadness	Matsumoto2008	1	0.6314822376480196
41	02	surprise	Matsumoto2008	1	0.7832618025751072
42	02	anger	Keltner2019	1	0.5517808529945554
43	02	disgust	Keltner2019	1	0.5032733224222585
44	02	fear	Keltner2019	1	0.7127697205518216
45	02	happy	Keltner2019	1	0.6139880952380953
46	02	sadness	Keltner2019	1	0.4989111201851096
47	02	surprise	Keltner2019	1	0.7730839975475169
48	02	anger	Cordaro2008ref	1	0.5995916515426496
49	02	disgust	Cordaro2008ref	1	0.5679695773563108
50	02	fear	Cordaro2008ref	1	0.6094800141492749
51	02	happy	Cordaro2008ref	1	0.6394345238095238
52	02	sadness	Cordaro2008ref	1	0.5658091738124404
53	02	surprise	Cordaro2008ref	1	0.7531575720416923
54	02	anger	Ekman	1	0.571092332123412
55	02	disgust	Ekman	1	0.5127563300279195
56	02	fear	Ekman	1	0.8010258224266006
57	02	happy	Ekman	1	0.6794642857142857
58	02	sadness	Ekman	1	0.5053082890975908
59	02	surprise	Ekman	1	0.7759043531575719
60	03	anger	Darwin	1	0.5379365079365079
61	03	disgust	Darwin	1	0.6081784909909911
62	03	fear	Darwin	1	0.508448275862069
63	03	happy	Darwin	1	0.641497461928934
64	03	sadness	Darwin	1	0.5349147121535182
65	03	surprise	Darwin	1	0.6908730158730159
66	03	anger	Matsumoto2008	1	0.613068783068783
67	03	disgust	Matsumoto2008	1	0.5948057432432432
68	03	fear	Matsumoto2008	1	0.5904310344827587
69	03	happy	Matsumoto2008	1	0.6490323604060914
70	03	sadness	Matsumoto2008	1	0.502132196162047
71	03	surprise	Matsumoto2008	1	0.7404761904761905
72	03	anger	Keltner2019	1	0.4657671957671958
73	03	disgust	Keltner2019	1	0.5948761261261261
74	03	fear	Keltner2019	1	0.48043103448275853
75	03	happy	Keltner2019	1	0.5287912436548224
76	03	sadness	Keltner2019	1	0.5285181236673775
77	03	surprise	Keltner2019	1	0.683843537414966
78	03	anger	Cordaro2008ref	1	0.6314285714285715
79	03	disgust	Cordaro2008ref	1	0.5886120495495497
80	03	fear	Cordaro2008ref	1	0.46931034482758616
81	03	happy	Cordaro2008ref	1	0.6082645939086295
82	03	sadness	Cordaro2008ref	1	0.5228322672352523
83	03	surprise	Cordaro2008ref	1	0.7406462585034014
84	03	anger	Ekman	1	0.6411111111111111
85	03	disgust	Ekman	1	0.5512387387387386
86	03	fear	Ekman	1	0.5682758620689655
87	03	happy	Ekman	1	0.6218274111675127
88	03	sadness	Ekman	1	0.5676083866382373
89	03	surprise	Ekman	1	0.7701814058956916
90	04	anger	Darwin	1	0.5511811023622046
91	04	disgust	Darwin	1	0.5380459947522767
92	04	fear	Darwin	1	0.37656322371468276
93	04	happy	Darwin	1	0.6325791855203621
94	04	sadness	Darwin	1	0.6013315774070822
95	04	surprise	Darwin	1	0.6419378338999514
96	04	anger	Matsumoto2008	1	0.5735294117647058
97	04	disgust	Matsumoto2008	1	0.5632041981787312
98	04	fear	Matsumoto2008	1	0.4293654469661881
99	04	happy	Matsumoto2008	1	0.6231674208144796
100	04	sadness	Matsumoto2008	1	0.5849795141937372
101	04	surprise	Matsumoto2008	1	0.6237655819977336
102	04	anger	Keltner2019	1	0.5833719314497453
103	04	disgust	Keltner2019	1	0.48753665689149556
104	04	fear	Keltner2019	1	0.42913385826771655
105	04	happy	Keltner2019	1	0.5856108597285069
106	04	sadness	Keltner2019	1	0.5080114135206321
107	04	surprise	Keltner2019	1	0.5671442447790189
108	04	anger	Cordaro2008ref	1	0.5537285780453914
109	04	disgust	Cordaro2008ref	1	0.5192545145855842
110	04	fear	Cordaro2008ref	1	0.41199629458082443
111	04	happy	Cordaro2008ref	1	0.6170588235294118
112	04	sadness	Cordaro2008ref	1	0.47047848990342406
113	04	surprise	Cordaro2008ref	1	0.5993605310021046
114	04	anger	Ekman	1	0.5682028716998611
115	04	disgust	Ekman	1	0.5174023769100169
116	04	fear	Ekman	1	0.5550023158869848
117	04	happy	Ekman	1	0.6315384615384616
118	04	sadness	Ekman	1	0.5444103014340064
119	04	surprise	Ekman	1	0.6513679779828396
120	05	anger	Darwin	1	0.4906694882647171
121	05	disgust	Darwin	1	0.6104575163398693
122	05	fear	Darwin	1	0.5752118644067797
123	05	happy	Darwin	1	0.5779609279609279
124	05	sadness	Darwin	1	0.6171428571428572
125	05	surprise	Darwin	1	0.6953159041394334
126	05	anger	Matsumoto2008	1	0.6969026548672567
127	05	disgust	Matsumoto2008	1	0.5723311546840959
128	05	fear	Matsumoto2008	1	0.5339767733835531
129	05	happy	Matsumoto2008	1	0.6150183150183149
130	05	sadness	Matsumoto2008	1	0.5564285714285715
131	05	surprise	Matsumoto2008	1	0.7608387799564269
132	05	anger	Keltner2019	1	0.5368410927279723
133	05	disgust	Keltner2019	1	0.5492374727668846
134	05	fear	Keltner2019	1	0.49238857501569366
135	05	happy	Keltner2019	1	0.5699633699633699
136	05	sadness	Keltner2019	1	0.5191964285714286
137	05	surprise	Keltner2019	1	0.7282679738562092
138	05	anger	Cordaro2008ref	1	0.5917660638707195
139	05	disgust	Cordaro2008ref	1	0.5103485838779956
140	05	fear	Cordaro2008ref	1	0.478028876333961
141	05	happy	Cordaro2008ref	1	0.5798534798534799
142	05	sadness	Cordaro2008ref	1	0.5208035714285715
143	05	surprise	Cordaro2008ref	1	0.7405228758169933
144	05	anger	Ekman	1	0.6459215082724125
145	05	disgust	Ekman	1	0.5181917211328977
146	05	fear	Ekman	1	0.4659839924670433
147	05	happy	Ekman	1	0.5925518925518926
148	05	sadness	Ekman	1	0.5229464285714286
149	05	surprise	Ekman	1	0.6772875816993463
150	06	anger	Darwin	1	0.542687074829932
151	06	disgust	Darwin	1	0.6080341880341881
152	06	fear	Darwin	1	0.6904040404040404
153	06	happy	Darwin	1	0.6368070953436807
154	06	sadness	Darwin	1	0.5548243663850599
155	06	surprise	Darwin	1	0.738887410167687
156	06	anger	Matsumoto2008	1	0.6308673469387754
157	06	disgust	Matsumoto2008	1	0.5690598290598291
158	06	fear	Matsumoto2008	1	0.6493055555555556
159	06	happy	Matsumoto2008	1	0.6716925351071692
160	06	sadness	Matsumoto2008	1	0.5971542907959093
161	06	surprise	Matsumoto2008	1	0.8261911099281342
162	06	anger	Keltner2019	1	0.46181972789115644
163	06	disgust	Keltner2019	1	0.5521367521367521
164	06	fear	Keltner2019	1	0.6282828282828282
165	06	happy	Keltner2019	1	0.5843311160384331
166	06	sadness	Keltner2019	1	0.5861716318363717
167	06	surprise	Keltner2019	1	0.8500133084908172
168	06	anger	Cordaro2008ref	1	0.6417942176870749
169	06	disgust	Cordaro2008ref	1	0.5174358974358975
170	06	fear	Cordaro2008ref	1	0.6060606060606061
171	06	happy	Cordaro2008ref	1	0.6382852919438287
172	06	sadness	Cordaro2008ref	1	0.6229435304579813
