	sub	emotion	score	mapping	kernel	beta
0	01	anger	0.5418469595506169	Darwin	cosine	1
1	02	anger	0.6364435586292276	Darwin	cosine	1
2	03	anger	0.5643318348460815	Darwin	cosine	1
3	04	anger	0.5252462615290311	Darwin	cosine	1
4	05	anger	0.5400114596564864	Darwin	cosine	1
5	06	anger	0.6432862830256967	Darwin	cosine	1
6	07	anger	0.6090942562592048	Darwin	cosine	1
7	08	anger	0.5665158339733345	Darwin	cosine	1
8	09	anger	0.531546711079289	Darwin	cosine	1
9	10	anger	0.5874902576563359	Darwin	cosine	1
10	11	anger	0.6141992463495054	Darwin	cosine	1
11	12	anger	0.5927667416291853	Darwin	cosine	1
12	13	anger	0.49156980038817344	Darwin	cosine	1
13	14	anger	0.6517958497579961	Darwin	cosine	1
14	15	anger	0.44705087472149785	Darwin	cosine	1
15	16	anger	0.5417717004949887	Darwin	cosine	1
16	17	anger	0.4768972126449323	Darwin	cosine	1
17	18	anger	0.6148258234519104	Darwin	cosine	1
18	19	anger	0.5423096215531238	Darwin	cosine	1
19	20	anger	0.42740055534030735	Darwin	cosine	1
20	21	anger	0.617840889835637	Darwin	cosine	1
21	22	anger	0.47906400420989625	Darwin	cosine	1
22	23	anger	0.5033159072230846	Darwin	cosine	1
23	24	anger	0.5287949650672672	Darwin	cosine	1
24	25	anger	0.5764195968405966	Darwin	cosine	1
25	26	anger	0.48033573717307376	Darwin	cosine	1
26	27	anger	0.49772122208697267	Darwin	cosine	1
27	28	anger	0.5603157565738067	Darwin	cosine	1
28	29	anger	0.4855658505655438	Darwin	cosine	1
29	30	anger	0.5330155209504592	Darwin	cosine	1
30	31	anger	0.5947143548777536	Darwin	cosine	1
31	32	anger	0.5681363597981888	Darwin	cosine	1
32	33	anger	0.5638915177568894	Darwin	cosine	1
33	34	anger	0.5860860860860861	Darwin	cosine	1
34	35	anger	0.6082750533049042	Darwin	cosine	1
35	36	anger	0.5256099595899505	Darwin	cosine	1
36	37	anger	0.5400080823129096	Darwin	cosine	1
37	38	anger	0.47833867303195055	Darwin	cosine	1
38	39	anger	0.5850748606151726	Darwin	cosine	1
39	40	anger	0.48794939126283127	Darwin	cosine	1
40	41	anger	0.4878574537262231	Darwin	cosine	1
41	42	anger	0.47742283279714814	Darwin	cosine	1
42	43	anger	0.5184927311994327	Darwin	cosine	1
43	44	anger	0.5849819716577689	Darwin	cosine	1
44	45	anger	0.5321537711757992	Darwin	cosine	1
45	46	anger	0.5536301382304325	Darwin	cosine	1
46	47	anger	0.5527656781127237	Darwin	cosine	1
47	48	anger	0.5085124092009685	Darwin	cosine	1
48	49	anger	0.5231473347917797	Darwin	cosine	1
49	50	anger	0.5743210178615121	Darwin	cosine	1
50	51	anger	0.5367033542976939	Darwin	cosine	1
51	52	anger	0.5395790872509276	Darwin	cosine	1
52	53	anger	0.47451365901986836	Darwin	cosine	1
53	54	anger	0.541982355098255	Darwin	cosine	1
54	55	anger	0.49865921853849887	Darwin	cosine	1
55	56	anger	0.6541150876695161	Darwin	cosine	1
56	57	anger	0.6104911232828625	Darwin	cosine	1
57	58	anger	0.5767960134364305	Darwin	cosine	1
58	59	anger	0.5208923941422519	Darwin	cosine	1
59	60	anger	0.5931700796265333	Darwin	cosine	1
60	01	disgust	0.6525413443478815	Darwin	cosine	1
61	02	disgust	0.6488072769214638	Darwin	cosine	1
62	03	disgust	0.688493213710605	Darwin	cosine	1
63	04	disgust	0.5859580188973579	Darwin	cosine	1
64	05	disgust	0.6442251115673235	Darwin	cosine	1
65	06	disgust	0.7190428432060831	Darwin	cosine	1
66	07	disgust	0.6696548088502071	Darwin	cosine	1
67	08	disgust	0.6113537481871676	Darwin	cosine	1
68	09	disgust	0.6017670975813179	Darwin	cosine	1
69	10	disgust	0.7372919756137748	Darwin	cosine	1
70	11	disgust	0.7260008550017603	Darwin	cosine	1
71	12	disgust	0.6730037018847399	Darwin	cosine	1
72	13	disgust	0.7303818340750159	Darwin	cosine	1
73	14	disgust	0.7786288004598876	Darwin	cosine	1
74	15	disgust	0.7350030932668281	Darwin	cosine	1
75	16	disgust	0.5599478663862664	Darwin	cosine	1
76	17	disgust	0.6227673867707221	Darwin	cosine	1
77	18	disgust	0.6178496361388877	Darwin	cosine	1
78	19	disgust	0.6413507831643943	Darwin	cosine	1
79	20	disgust	0.5666257544013258	Darwin	cosine	1
80	21	disgust	0.5992394324996343	Darwin	cosine	1
81	22	disgust	0.5982844971582282	Darwin	cosine	1
82	23	disgust	0.6068730330047072	Darwin	cosine	1
83	24	disgust	0.762209424121809	Darwin	cosine	1
84	25	disgust	0.6462897634708902	Darwin	cosine	1
85	26	disgust	0.5999690817273008	Darwin	cosine	1
86	27	disgust	0.6320749024826164	Darwin	cosine	1
87	28	disgust	0.576756575651926	Darwin	cosine	1
88	29	disgust	0.7694241826730831	Darwin	cosine	1
89	30	disgust	0.5801620410817947	Darwin	cosine	1
90	31	disgust	0.6426343733369637	Darwin	cosine	1
91	32	disgust	0.7335886365012578	Darwin	cosine	1
92	33	disgust	0.6048970165192554	Darwin	cosine	1
93	34	disgust	0.7558198879519329	Darwin	cosine	1
94	35	disgust	0.5812943693729041	Darwin	cosine	1
95	36	disgust	0.5062653872594338	Darwin	cosine	1
96	37	disgust	0.6713723929073687	Darwin	cosine	1
97	38	disgust	0.5519094001236858	Darwin	cosine	1
98	39	disgust	0.6355917514417158	Darwin	cosine	1
99	40	disgust	0.598261316872428	Darwin	cosine	1
100	41	disgust	0.526139015589484	Darwin	cosine	1
101	42	disgust	0.5887109682821119	Darwin	cosine	1
102	43	disgust	0.5976348473340983	Darwin	cosine	1
103	44	disgust	0.6467194806220352	Darwin	cosine	1
104	45	disgust	0.5900462564279212	Darwin	cosine	1
105	46	disgust	0.5473559996520875	Darwin	cosine	1
106	47	disgust	0.7417725953358022	Darwin	cosine	1
107	48	disgust	0.5695643560226894	Darwin	cosine	1
108	49	disgust	0.602932056582499	Darwin	cosine	1
109	50	disgust	0.7509206288085765	Darwin	cosine	1
110	51	disgust	0.7446338523466183	Darwin	cosine	1
111	52	disgust	0.5973731155959967	Darwin	cosine	1
112	53	disgust	0.6358873038752755	Darwin	cosine	1
113	54	disgust	0.600901298908757	Darwin	cosine	1
114	55	disgust	0.7029872032443025	Darwin	cosine	1
115	56	disgust	0.697022612622147	Darwin	cosine	1
116	57	disgust	0.6923947380828894	Darwin	cosine	1
117	58	disgust	0.6149532767679746	Darwin	cosine	1
118	59	disgust	0.6246865271532341	Darwin	cosine	1
119	60	disgust	0.5870362660081548	Darwin	cosine	1
120	01	fear	0.5609478896228379	Darwin	cosine	1
121	02	fear	0.68220495745468	Darwin	cosine	1
122	03	fear	0.5781954764470192	Darwin	cosine	1
123	04	fear	0.49868890884333095	Darwin	cosine	1
124	05	fear	0.6072047587605528	Darwin	cosine	1
125	06	fear	0.7378243997829034	Darwin	cosine	1
126	07	fear	0.650679758308157	Darwin	cosine	1
127	08	fear	0.6778944179127459	Darwin	cosine	1
128	09	fear	0.5433143807754977	Darwin	cosine	1
129	10	fear	0.6709072392665276	Darwin	cosine	1
130	11	fear	0.5688025370479237	Darwin	cosine	1
131	12	fear	0.72327431199948	Darwin	cosine	1
132	13	fear	0.56111467008328	Darwin	cosine	1
133	14	fear	0.684912433658253	Darwin	cosine	1
134	15	fear	0.6284450816267089	Darwin	cosine	1
135	16	fear	0.41553986168556073	Darwin	cosine	1
136	17	fear	0.5348717143361928	Darwin	cosine	1
137	18	fear	0.4994393957276053	Darwin	cosine	1
138	19	fear	0.5184047758856919	Darwin	cosine	1
139	20	fear	0.5867527719245434	Darwin	cosine	1
140	21	fear	0.4228194185116031	Darwin	cosine	1
141	22	fear	0.5218194416194128	Darwin	cosine	1
142	23	fear	0.5710768947077264	Darwin	cosine	1
143	24	fear	0.5992485369358004	Darwin	cosine	1
144	25	fear	0.5800765233629683	Darwin	cosine	1
145	26	fear	0.5645758726713691	Darwin	cosine	1
146	27	fear	0.5704915759860816	Darwin	cosine	1
147	28	fear	0.5161899340087369	Darwin	cosine	1
148	29	fear	0.5541082460590405	Darwin	cosine	1
149	30	fear	0.5815699927334672	Darwin	cosine	1
150	31	fear	0.5587010268541311	Darwin	cosine	1
151	32	fear	0.48262447873436204	Darwin	cosine	1
152	33	fear	0.628624317055474	Darwin	cosine	1
153	34	fear	0.5091285015562472	Darwin	cosine	1
154	35	fear	0.49611997240147737	Darwin	cosine	1
155	36	fear	0.5653572429424463	Darwin	cosine	1
156	37	fear	0.5545355364930156	Darwin	cosine	1
157	38	fear	0.5745067986616248	Darwin	cosine	1
158	39	fear	0.5952936701156422	Darwin	cosine	1
159	40	fear	0.6645236157704187	Darwin	cosine	1
160	41	fear	0.6719282590069107	Darwin	cosine	1
161	42	fear	0.4607374813176665	Darwin	cosine	1
162	43	fear	0.46646886366486895	Darwin	cosine	1
163	44	fear	0.5040409540281425	Darwin	cosine	1
164	45	fear	0.6661734346845504	Darwin	cosine	1
165	46	fear	0.4973103491811558	Darwin	cosine	1
166	47	fear	0.5500710512371746	Darwin	cosine	1
167	48	fear	0.56993265993266	Darwin	cosine	1
168	49	fear	0.5322357354451672	Darwin	cosine	1
169	50	fear	0.536861693393903	Darwin	cosine	1
170	51	fear	0.5469183194711026	Darwin	cosine	1
171	52	fear	0.45249423429640256	Darwin	cosine	1
172	53	fear	0.49287313569794333	Darwin	cosine	1
173	54	fear	0.4469641359060403	Darwin	cosine	1
174	55	fear	0.6126476995966207	Darwin	cosine	1
175	56	fear	0.6411149113749786	Darwin	cosine	1
176	57	fear	0.5799055245397688	Darwin	cosine	1
177	58	fear	0.6935640589511423	Darwin	cosine	1
178	59	fear	0.39965382459802107	Darwin	cosine	1
179	60	fear	0.5437220754469355	Darwin	cosine	1
180	01	happy	0.772028001394725	Darwin	cosine	1
