	index	emotion	score
0	sub-02	anger	0.629102231613998
1	sub-04	anger	0.7027876377425195
2	sub-06	anger	0.6764768025354344
3	sub-08	anger	0.7245220748489943
4	sub-10	anger	0.7321961534934899
5	sub-12	anger	0.6197769865067466
6	sub-14	anger	0.7228462901052842
7	sub-16	anger	0.699780478760448
8	sub-18	anger	0.7787520421607378
9	sub-20	anger	0.7344650006457446
10	sub-22	anger	0.6450295819189662
11	sub-24	anger	0.6624334958303433
12	sub-26	anger	0.8067070063524334
13	sub-28	anger	0.7407119533479738
14	sub-30	anger	0.5524462311764192
15	sub-32	anger	0.7464416520656099
16	sub-34	anger	0.7947202521670607
17	sub-36	anger	0.5374985490107881
18	sub-38	anger	0.8061969244546094
19	sub-40	anger	0.7120595607543567
20	sub-42	anger	0.7246135118685331
21	sub-44	anger	0.7544218352572882
22	sub-46	anger	0.719940949465226
23	sub-48	anger	0.7075476694915255
24	sub-50	anger	0.7646085461720401
25	sub-52	anger	0.6865058567941053
26	sub-54	anger	0.6394072348411312
27	sub-56	anger	0.6997257002329184
28	sub-58	anger	0.7376264946972578
29	sub-60	anger	0.6459040343006605
30	sub-02	disgust	0.7525306700220195
31	sub-04	disgust	0.7636998281198888
32	sub-06	disgust	0.9187018481204242
33	sub-08	disgust	0.7570242044374803
34	sub-10	disgust	0.7468556049870928
35	sub-12	disgust	0.7465841619887025
36	sub-14	disgust	0.7935320324476238
37	sub-16	disgust	0.7023137366716986
38	sub-18	disgust	0.7010543074133396
39	sub-20	disgust	0.7847337315113043
40	sub-22	disgust	0.7297977949151808
41	sub-24	disgust	0.7800481220415661
42	sub-26	disgust	0.7996482716157043
43	sub-28	disgust	0.6936462732167203
44	sub-30	disgust	0.7671117518007261
45	sub-32	disgust	0.7463718386048483
46	sub-34	disgust	0.8286003850927355
47	sub-36	disgust	0.6170511153329066
48	sub-38	disgust	0.6440088551889794
49	sub-40	disgust	0.8282327389117512
50	sub-42	disgust	0.8273380040057788
51	sub-44	disgust	0.8467685530405158
52	sub-46	disgust	0.6367085327329154
53	sub-48	disgust	0.7429200033366701
54	sub-50	disgust	0.8423516756208322
55	sub-52	disgust	0.7178385995567347
56	sub-54	disgust	0.6190154684291623
57	sub-56	disgust	0.8898296115991109
58	sub-58	disgust	0.8423156175051668
59	sub-60	disgust	0.7719725000205101
60	sub-02	fear	0.639890492045875
61	sub-04	fear	0.5653669579734156
62	sub-06	fear	0.845885837295481
63	sub-08	fear	0.8120140166839267
64	sub-10	fear	0.7993398414953602
65	sub-12	fear	0.8592956795517074
66	sub-14	fear	0.8209451733699225
67	sub-16	fear	0.6066034260453121
68	sub-18	fear	0.6475255960108579
69	sub-20	fear	0.7138191726871362
70	sub-22	fear	0.6593673362404976
71	sub-24	fear	0.8334822680123354
72	sub-26	fear	0.8131922589980105
73	sub-28	fear	0.6579259224835021
74	sub-30	fear	0.7817664842771627
75	sub-32	fear	0.6804704141124234
76	sub-34	fear	0.8699466429524233
77	sub-36	fear	0.6723584408865403
78	sub-38	fear	0.7150592344124925
79	sub-40	fear	0.9027510213571595
80	sub-42	fear	0.7659597251418642
81	sub-44	fear	0.8339970391248336
82	sub-46	fear	0.4819780619483924
83	sub-48	fear	0.6532255892255892
84	sub-50	fear	0.891842491744659
85	sub-52	fear	0.7443886538217082
86	sub-54	fear	0.5550545302013423
87	sub-56	fear	0.8733544140423337
88	sub-58	fear	0.8400160923988879
89	sub-60	fear	0.6403003726126826
90	sub-02	happy	0.9288393995369045
91	sub-04	happy	0.8730274602385686
92	sub-06	happy	0.946935543670327
93	sub-08	happy	0.9052804257407837
94	sub-10	happy	0.8967886300357082
95	sub-12	happy	0.895158079819527
96	sub-14	happy	0.9182120188027152
97	sub-16	happy	0.7761153300253028
98	sub-18	happy	0.8805283477335368
99	sub-20	happy	0.8553597369829498
100	sub-22	happy	0.6888719303059405
101	sub-24	happy	0.8951471774610593
102	sub-26	happy	0.9358328116609356
103	sub-28	happy	0.8616029822926375
104	sub-30	happy	0.8569327865580648
105	sub-32	happy	0.8948790430912638
106	sub-34	happy	0.8937293846008858
107	sub-36	happy	0.8855922307422833
108	sub-38	happy	0.8542868806590402
109	sub-40	happy	0.7686672647667643
110	sub-42	happy	0.8752390084644669
111	sub-44	happy	0.9215803546298903
112	sub-46	happy	0.8132017730874462
113	sub-48	happy	0.8230541976620616
114	sub-50	happy	0.8319617666854388
115	sub-52	happy	0.8149510587934234
116	sub-54	happy	0.8690859016022032
117	sub-56	happy	0.9260547399828347
118	sub-58	happy	0.8907047350236699
119	sub-60	happy	0.8448311364041701
120	sub-02	sadness	0.6957927986019605
121	sub-04	sadness	0.7629596853490658
122	sub-06	sadness	0.7790031303076487
123	sub-08	sadness	0.7026942576695189
124	sub-10	sadness	0.821190828402367
125	sub-12	sadness	0.7819124056261143
126	sub-14	sadness	0.7699438431812079
127	sub-16	sadness	0.7722701979106514
128	sub-18	sadness	0.7923992200246727
129	sub-20	sadness	0.7795696543578956
130	sub-22	sadness	0.6983673956788241
131	sub-24	sadness	0.8439147875998615
132	sub-26	sadness	0.8467354323703731
133	sub-28	sadness	0.8282400639405407
134	sub-30	sadness	0.7498574389548482
135	sub-32	sadness	0.8954265622585132
136	sub-34	sadness	0.8643077837195484
137	sub-36	sadness	0.6742371031169052
138	sub-38	sadness	0.874966481437936
139	sub-40	sadness	0.8019040835707503
140	sub-42	sadness	0.738031821790821
141	sub-44	sadness	0.8148917374633486
142	sub-46	sadness	0.6867620380050428
143	sub-48	sadness	0.7775420434816408
144	sub-50	sadness	0.6304625532663759
145	sub-52	sadness	0.67823698087839
146	sub-54	sadness	0.6033808049535604
147	sub-56	sadness	0.8873289911967642
148	sub-58	sadness	0.8250828242302666
149	sub-60	sadness	0.7316361585536144
150	sub-02	surprise	0.8812364325781391
151	sub-04	surprise	0.7387318910377213
152	sub-06	surprise	0.899851805900193
153	sub-08	surprise	0.8571120706242735
154	sub-10	surprise	0.8704014540124341
155	sub-12	surprise	0.8893601190476189
156	sub-14	surprise	0.8610337818883934
157	sub-16	surprise	0.7670552323940503
158	sub-18	surprise	0.8371111698786817
159	sub-20	surprise	0.7565220045168773
160	sub-22	surprise	0.7150982273697678
161	sub-24	surprise	0.9107525090167791
162	sub-26	surprise	0.8917564530695399
163	sub-28	surprise	0.8403816315077086
164	sub-30	surprise	0.7902250306503578
165	sub-32	surprise	0.8457334165459026
166	sub-34	surprise	0.866010134030729
167	sub-36	surprise	0.7559393249111568
168	sub-38	surprise	0.7817822373656161
169	sub-40	surprise	0.8060961968680089
170	sub-42	surprise	0.8775560303074535
171	sub-44	surprise	0.8926119329417154
172	sub-46	surprise	0.8050848821603847
173	sub-48	surprise	0.7049640729057133
174	sub-50	surprise	0.8902553642490052
175	sub-52	surprise	0.7693667770709997
176	sub-54	surprise	0.765809201146694
177	sub-56	surprise	0.845699442239481
178	sub-58	surprise	0.8552157846853023
179	sub-60	surprise	0.6625310556270153
