	index	emotion	score
0	sub-01	anger	0.7238802937998436
1	sub-02	anger	0.6989098948651244
2	sub-03	anger	0.7589093706132337
3	sub-04	anger	0.8419910843220748
4	sub-05	anger	0.8316167507082419
5	sub-01	disgust	0.7811502888069832
6	sub-02	disgust	0.7418075130879349
7	sub-03	disgust	0.7916360052280327
8	sub-04	disgust	0.7849384374656628
9	sub-05	disgust	0.8015346943938004
10	sub-01	fear	0.8392921320196086
11	sub-02	fear	0.8579353652751424
12	sub-03	fear	0.6918797005216473
13	sub-04	fear	0.6744425662156817
14	sub-05	fear	0.8084588469046909
15	sub-01	happy	0.8898494034257329
16	sub-02	happy	0.9223369104401968
17	sub-03	happy	0.8959694405242911
18	sub-04	happy	0.8925576310196016
19	sub-05	happy	0.8822191187369057
20	sub-01	sadness	0.8525512882888362
21	sub-02	sadness	0.809522558487414
22	sub-03	sadness	0.7400185375565009
23	sub-04	sadness	0.7933881309743379
24	sub-05	sadness	0.7913482629667782
25	sub-01	surprise	0.8391077366749957
26	sub-02	surprise	0.8341353351097798
27	sub-03	surprise	0.8901458807988393
28	sub-04	surprise	0.8124586555389246
29	sub-05	surprise	0.8030598564284812
