	sub	emotion	score	mapping	kernel	beta	method
0	01	anger	0.49401844629234426	Darwin	cosine	1	predict
1	02	anger	0.5671449713088366	Darwin	cosine	1	predict
2	03	anger	0.5170274664156755	Darwin	cosine	1	predict
3	04	anger	0.5124848536686196	Darwin	cosine	1	predict
4	05	anger	0.49687551775556416	Darwin	cosine	1	predict
5	06	anger	0.5878265888037875	Darwin	cosine	1	predict
6	07	anger	0.5542390770741286	Darwin	cosine	1	predict
7	08	anger	0.5219662217794107	Darwin	cosine	1	predict
8	09	anger	0.511606170033932	Darwin	cosine	1	predict
9	10	anger	0.526632129103246	Darwin	cosine	1	predict
10	11	anger	0.5856205840791333	Darwin	cosine	1	predict
11	12	anger	0.5477417541229386	Darwin	cosine	1	predict
12	13	anger	0.4784361851332398	Darwin	cosine	1	predict
13	14	anger	0.5850787136370441	Darwin	cosine	1	predict
14	15	anger	0.4520876419986212	Darwin	cosine	1	predict
15	16	anger	0.52114200142902	Darwin	cosine	1	predict
16	17	anger	0.48582500472802925	Darwin	cosine	1	predict
17	18	anger	0.5725027667984189	Darwin	cosine	1	predict
18	19	anger	0.5592486502897422	Darwin	cosine	1	predict
19	20	anger	0.45066834560247965	Darwin	cosine	1	predict
20	21	anger	0.568831546077316	Darwin	cosine	1	predict
21	22	anger	0.5004253609263117	Darwin	cosine	1	predict
22	23	anger	0.5271569567467204	Darwin	cosine	1	predict
23	24	anger	0.5378947976211097	Darwin	cosine	1	predict
24	25	anger	0.565217018389192	Darwin	cosine	1	predict
25	26	anger	0.46881811657422157	Darwin	cosine	1	predict
26	27	anger	0.475751169197258	Darwin	cosine	1	predict
27	28	anger	0.5162854393367385	Darwin	cosine	1	predict
28	29	anger	0.48730032112249705	Darwin	cosine	1	predict
29	30	anger	0.5455734742181764	Darwin	cosine	1	predict
30	31	anger	0.5660844831759864	Darwin	cosine	1	predict
31	32	anger	0.5399822676320956	Darwin	cosine	1	predict
32	33	anger	0.5601400340059671	Darwin	cosine	1	predict
33	34	anger	0.5497492173024089	Darwin	cosine	1	predict
34	35	anger	0.5312515991471216	Darwin	cosine	1	predict
35	36	anger	0.5250272967345488	Darwin	cosine	1	predict
36	37	anger	0.5505454927803917	Darwin	cosine	1	predict
37	38	anger	0.4754812535736651	Darwin	cosine	1	predict
38	39	anger	0.5512863079203992	Darwin	cosine	1	predict
39	40	anger	0.4970989496299833	Darwin	cosine	1	predict
40	41	anger	0.48550899021189076	Darwin	cosine	1	predict
41	42	anger	0.48681853751847665	Darwin	cosine	1	predict
42	43	anger	0.5096146407504111	Darwin	cosine	1	predict
43	44	anger	0.5435824691841127	Darwin	cosine	1	predict
44	45	anger	0.5049301413087534	Darwin	cosine	1	predict
45	46	anger	0.5523008406774959	Darwin	cosine	1	predict
46	47	anger	0.5469697123898308	Darwin	cosine	1	predict
47	48	anger	0.49120384382566584	Darwin	cosine	1	predict
48	49	anger	0.5286528767015986	Darwin	cosine	1	predict
49	50	anger	0.5355677476426192	Darwin	cosine	1	predict
50	51	anger	0.5019392033542976	Darwin	cosine	1	predict
51	52	anger	0.5204103115411319	Darwin	cosine	1	predict
52	53	anger	0.49638908302421014	Darwin	cosine	1	predict
53	54	anger	0.5432998986173126	Darwin	cosine	1	predict
54	55	anger	0.5020708611388454	Darwin	cosine	1	predict
55	56	anger	0.6074581160808239	Darwin	cosine	1	predict
56	57	anger	0.5611387441987723	Darwin	cosine	1	predict
57	58	anger	0.5533126293995859	Darwin	cosine	1	predict
58	59	anger	0.5074685385442358	Darwin	cosine	1	predict
59	60	anger	0.5857495820020858	Darwin	cosine	1	predict
60	01	disgust	0.5598826520867156	Darwin	cosine	1	predict
61	02	disgust	0.5695061340044039	Darwin	cosine	1	predict
62	03	disgust	0.5925120772946859	Darwin	cosine	1	predict
63	04	disgust	0.5357043586451536	Darwin	cosine	1	predict
64	05	disgust	0.5639258830341632	Darwin	cosine	1	predict
65	06	disgust	0.6282223579718998	Darwin	cosine	1	predict
66	07	disgust	0.5781228196209565	Darwin	cosine	1	predict
67	08	disgust	0.5400226152572416	Darwin	cosine	1	predict
68	09	disgust	0.5227840329904551	Darwin	cosine	1	predict
69	10	disgust	0.610788433020267	Darwin	cosine	1	predict
70	11	disgust	0.6241676306392396	Darwin	cosine	1	predict
71	12	disgust	0.5818986989714641	Darwin	cosine	1	predict
72	13	disgust	0.6182473776223778	Darwin	cosine	1	predict
73	14	disgust	0.6639115993868165	Darwin	cosine	1	predict
74	15	disgust	0.6039192657357867	Darwin	cosine	1	predict
75	16	disgust	0.5261333850520395	Darwin	cosine	1	predict
76	17	disgust	0.558554778046636	Darwin	cosine	1	predict
77	18	disgust	0.569908790223928	Darwin	cosine	1	predict
78	19	disgust	0.5601480779817999	Darwin	cosine	1	predict
79	20	disgust	0.5058866756308827	Darwin	cosine	1	predict
80	21	disgust	0.5229671370176209	Darwin	cosine	1	predict
81	22	disgust	0.534619180875526	Darwin	cosine	1	predict
82	23	disgust	0.5458485629030356	Darwin	cosine	1	predict
83	24	disgust	0.6440652105732867	Darwin	cosine	1	predict
84	25	disgust	0.5730429084138708	Darwin	cosine	1	predict
85	26	disgust	0.534370813150572	Darwin	cosine	1	predict
86	27	disgust	0.5568201831630856	Darwin	cosine	1	predict
87	28	disgust	0.5344531319973594	Darwin	cosine	1	predict
88	29	disgust	0.6681790604359996	Darwin	cosine	1	predict
89	30	disgust	0.5131511250897937	Darwin	cosine	1	predict
90	31	disgust	0.5784705634831253	Darwin	cosine	1	predict
91	32	disgust	0.6207243294621936	Darwin	cosine	1	predict
92	33	disgust	0.5443140651266408	Darwin	cosine	1	predict
93	34	disgust	0.6576197905188312	Darwin	cosine	1	predict
94	35	disgust	0.524451001215444	Darwin	cosine	1	predict
95	36	disgust	0.49260437937912516	Darwin	cosine	1	predict
96	37	disgust	0.5897975837035163	Darwin	cosine	1	predict
97	38	disgust	0.5190256603300081	Darwin	cosine	1	predict
98	39	disgust	0.558269617054364	Darwin	cosine	1	predict
99	40	disgust	0.5352777777777779	Darwin	cosine	1	predict
100	41	disgust	0.48450004096905475	Darwin	cosine	1	predict
101	42	disgust	0.5257215327029157	Darwin	cosine	1	predict
102	43	disgust	0.5437495033715298	Darwin	cosine	1	predict
103	44	disgust	0.5490371653063641	Darwin	cosine	1	predict
104	45	disgust	0.5351152104913515	Darwin	cosine	1	predict
105	46	disgust	0.4983666943741296	Darwin	cosine	1	predict
106	47	disgust	0.6373204634170753	Darwin	cosine	1	predict
107	48	disgust	0.49092842842842843	Darwin	cosine	1	predict
108	49	disgust	0.5546938531451806	Darwin	cosine	1	predict
109	50	disgust	0.6269413425747657	Darwin	cosine	1	predict
110	51	disgust	0.6057968770734727	Darwin	cosine	1	predict
111	52	disgust	0.5336673160055568	Darwin	cosine	1	predict
112	53	disgust	0.5679612555295989	Darwin	cosine	1	predict
113	54	disgust	0.5345560314560225	Darwin	cosine	1	predict
114	55	disgust	0.6268728635691856	Darwin	cosine	1	predict
115	56	disgust	0.6094613186580591	Darwin	cosine	1	predict
116	57	disgust	0.6160572555676049	Darwin	cosine	1	predict
117	58	disgust	0.5575337053176146	Darwin	cosine	1	predict
118	59	disgust	0.5590193704600483	Darwin	cosine	1	predict
119	60	disgust	0.539990647381677	Darwin	cosine	1	predict
120	01	fear	0.6132129985649655	Darwin	cosine	1	predict
121	02	fear	0.5436241213466518	Darwin	cosine	1	predict
122	03	fear	0.6043442060926634	Darwin	cosine	1	predict
123	04	fear	0.5057112564131749	Darwin	cosine	1	predict
124	05	fear	0.6428948733669764	Darwin	cosine	1	predict
125	06	fear	0.7666903142005135	Darwin	cosine	1	predict
126	07	fear	0.5020896273917422	Darwin	cosine	1	predict
127	08	fear	0.6831655751832177	Darwin	cosine	1	predict
128	09	fear	0.5333944828686349	Darwin	cosine	1	predict
129	10	fear	0.6768081516671846	Darwin	cosine	1	predict
130	11	fear	0.6259767787202528	Darwin	cosine	1	predict
131	12	fear	0.7437906644232783	Darwin	cosine	1	predict
132	13	fear	0.6279521674140508	Darwin	cosine	1	predict
133	14	fear	0.6995540691192865	Darwin	cosine	1	predict
134	15	fear	0.6354361143872148	Darwin	cosine	1	predict
135	16	fear	0.5329438704599876	Darwin	cosine	1	predict
136	17	fear	0.5361113837576804	Darwin	cosine	1	predict
137	18	fear	0.5438304024548566	Darwin	cosine	1	predict
138	19	fear	0.556962223527109	Darwin	cosine	1	predict
139	20	fear	0.648257199478226	Darwin	cosine	1	predict
140	21	fear	0.515293602103418	Darwin	cosine	1	predict
141	22	fear	0.5780957247487651	Darwin	cosine	1	predict
142	23	fear	0.6733726719527936	Darwin	cosine	1	predict
143	24	fear	0.7109134076254556	Darwin	cosine	1	predict
144	25	fear	0.6773951609629358	Darwin	cosine	1	predict
145	26	fear	0.6439211430638452	Darwin	cosine	1	predict
146	27	fear	0.6407203907203908	Darwin	cosine	1	predict
147	28	fear	0.5370561855191003	Darwin	cosine	1	predict
148	29	fear	0.5802866435318467	Darwin	cosine	1	predict
149	30	fear	0.6499878422614238	Darwin	cosine	1	predict
150	31	fear	0.6803923191524582	Darwin	cosine	1	predict
151	32	fear	0.569471084132524	Darwin	cosine	1	predict
152	33	fear	0.604044723732755	Darwin	cosine	1	predict
153	34	fear	0.6993019119608714	Darwin	cosine	1	predict
154	35	fear	0.5181920261915391	Darwin	cosine	1	predict
155	36	fear	0.6398176291793313	Darwin	cosine	1	predict
156	37	fear	0.6449635879679856	Darwin	cosine	1	predict
157	38	fear	0.5058658609614023	Darwin	cosine	1	predict
158	39	fear	0.7296332927571515	Darwin	cosine	1	predict
159	40	fear	0.7600817500913409	Darwin	cosine	1	predict
160	41	fear	0.674897200178099	Darwin	cosine	1	predict
161	42	fear	0.619670218841513	Darwin	cosine	1	predict
162	43	fear	0.6231162987583093	Darwin	cosine	1	predict
163	44	fear	0.6554192556530651	Darwin	cosine	1	predict
164	45	fear	0.7688437488812783	Darwin	cosine	1	predict
165	46	fear	0.47351080970588943	Darwin	cosine	1	predict
166	47	fear	0.6497956775156954	Darwin	cosine	1	predict
167	48	fear	0.5821212121212122	Darwin	cosine	1	predict
168	49	fear	0.7407282254343005	Darwin	cosine	1	predict
169	50	fear	0.7115066225165563	Darwin	cosine	1	predict
170	51	fear	0.7496090140044075	Darwin	cosine	1	predict
171	52	fear	0.6041685583017052	Darwin	cosine	1	predict
172	53	fear	0.5404977181799273	Darwin	cosine	1	predict
173	54	fear	0.5062919463087248	Darwin	cosine	1	predict
174	55	fear	0.7462528065301774	Darwin	cosine	1	predict
175	56	fear	0.7310918946824987	Darwin	cosine	1	predict
176	57	fear	0.6726010123317198	Darwin	cosine	1	predict
177	58	fear	0.7608526934398012	Darwin	cosine	1	predict
178	59	fear	0.5292884199134199	Darwin	cosine	1	predict
179	60	fear	0.5138360275950219	Darwin	cosine	1	predict
180	01	happy	0.696801931235986	Darwin	cosine	1	predict
181	02	happy	0.7748584263426733	Darwin	cosine	1	predict
182	03	happy	0.7153123192596876	Darwin	cosine	1	predict
183	04	happy	0.7186466331322411	Darwin	cosine	1	predict
184	05	happy	0.7199643493761141	Darwin	cosine	1	predict
185	06	happy	0.7731130884765872	Darwin	cosine	1	predict
186	07	happy	0.6949536892667423	Darwin	cosine	1	predict
187	08	happy	0.7221834715440854	Darwin	cosine	1	predict
188	09	happy	0.7134589960284843	Darwin	cosine	1	predict
189	10	happy	0.7236436425414104	Darwin	cosine	1	predict
190	11	happy	0.7366481609318334	Darwin	cosine	1	predict
191	12	happy	0.767566267458448	Darwin	cosine	1	predict
192	13	happy	0.7569452832467689	Darwin	cosine	1	predict
193	14	happy	0.7402556994191509	Darwin	cosine	1	predict
194	15	happy	0.723012771264099	Darwin	cosine	1	predict
195	16	happy	0.6345323195021484	Darwin	cosine	1	predict
196	17	happy	0.6405825804707813	Darwin	cosine	1	predict
197	18	happy	0.6789504335122272	Darwin	cosine	1	predict
198	19	happy	0.6683161997805279	Darwin	cosine	1	predict
199	20	happy	0.60423197492163	Darwin	cosine	1	predict
200	21	happy	0.6545776433374091	Darwin	cosine	1	predict
201	22	happy	0.5887621758814653	Darwin	cosine	1	predict
202	23	happy	0.7045126766335401	Darwin	cosine	1	predict
203	24	happy	0.6830213267691289	Darwin	cosine	1	predict
204	25	happy	0.681599692265537	Darwin	cosine	1	predict
205	26	happy	0.7315780416962117	Darwin	cosine	1	predict
206	27	happy	0.6895499271137026	Darwin	cosine	1	predict
207	28	happy	0.7218355108160205	Darwin	cosine	1	predict
208	29	happy	0.6666735258391263	Darwin	cosine	1	predict
209	30	happy	0.6553564771405009	Darwin	cosine	1	predict
210	31	happy	0.7256769523505382	Darwin	cosine	1	predict
211	32	happy	0.6771577754675326	Darwin	cosine	1	predict
212	33	happy	0.7051793803789638	Darwin	cosine	1	predict
213	34	happy	0.7287001696352842	Darwin	cosine	1	predict
214	35	happy	0.7145305557215037	Darwin	cosine	1	predict
215	36	happy	0.6968361164091187	Darwin	cosine	1	predict
216	37	happy	0.6470928545385549	Darwin	cosine	1	predict
217	38	happy	0.6291975515333877	Darwin	cosine	1	predict
218	39	happy	0.6707878290511963	Darwin	cosine	1	predict
219	40	happy	0.6425732789436057	Darwin	cosine	1	predict
220	41	happy	0.6585597273097272	Darwin	cosine	1	predict
221	42	happy	0.68091014423269	Darwin	cosine	1	predict
222	43	happy	0.671582637075123	Darwin	cosine	1	predict
223	44	happy	0.7302728631462483	Darwin	cosine	1	predict
224	45	happy	0.7356266282736872	Darwin	cosine	1	predict
225	46	happy	0.6599465231140959	Darwin	cosine	1	predict
226	47	happy	0.5868590132137229	Darwin	cosine	1	predict
227	48	happy	0.6479744952178534	Darwin	cosine	1	predict
228	49	happy	0.6954554710833559	Darwin	cosine	1	predict
229	50	happy	0.6534698089364449	Darwin	cosine	1	predict
230	51	happy	0.7505703016735956	Darwin	cosine	1	predict
231	52	happy	0.655485893416928	Darwin	cosine	1	predict
232	53	happy	0.6637878255150252	Darwin	cosine	1	predict
233	54	happy	0.6462628236443576	Darwin	cosine	1	predict
234	55	happy	0.7075053058074474	Darwin	cosine	1	predict
235	56	happy	0.7212920649043106	Darwin	cosine	1	predict
236	57	happy	0.6783176245323186	Darwin	cosine	1	predict
237	58	happy	0.7084709096458742	Darwin	cosine	1	predict
238	59	happy	0.6607624207188161	Darwin	cosine	1	predict
239	60	happy	0.6961865849506299	Darwin	cosine	1	predict
240	01	sadness	0.5532692623624117	Darwin	cosine	1	predict
241	02	sadness	0.531650265870457	Darwin	cosine	1	predict
242	03	sadness	0.5171716195936414	Darwin	cosine	1	predict
243	04	sadness	0.5266235534377127	Darwin	cosine	1	predict
244	05	sadness	0.5331303724928367	Darwin	cosine	1	predict
245	06	sadness	0.5416957984799482	Darwin	cosine	1	predict
246	07	sadness	0.5332971586424625	Darwin	cosine	1	predict
247	08	sadness	0.5290429135948652	Darwin	cosine	1	predict
248	09	sadness	0.5749273321827596	Darwin	cosine	1	predict
249	10	sadness	0.5548356788741404	Darwin	cosine	1	predict
250	11	sadness	0.5019022084986525	Darwin	cosine	1	predict
251	12	sadness	0.5426897382844315	Darwin	cosine	1	predict
252	13	sadness	0.5315846469705335	Darwin	cosine	1	predict
253	14	sadness	0.5443504605793142	Darwin	cosine	1	predict
