	sub	emotion	mapping	intensity	score
24	01	anger	Cordaro2008IPC	1	0.5932203389830508
2184	01	anger	Cordaro2008IPC	2	0.5333163265306123
4344	01	anger	Cordaro2008IPC	3	0.5723205964585275
6504	01	anger	Cordaro2008IPC	4	0.5934078467153285
8664	01	anger	Cordaro2008IPC	5	0.5680348258706467
25	01	disgust	Cordaro2008IPC	1	0.6436360218086106
2185	01	disgust	Cordaro2008IPC	2	0.7247471743010113
4345	01	disgust	Cordaro2008IPC	3	0.7362604540023895
6505	01	disgust	Cordaro2008IPC	4	0.713865096359743
8665	01	disgust	Cordaro2008IPC	5	0.6975896101079117
26	01	fear	Cordaro2008IPC	1	0.4758421985815603
2186	01	fear	Cordaro2008IPC	2	0.5100203114421124
4346	01	fear	Cordaro2008IPC	3	0.5446651060937854
6506	01	fear	Cordaro2008IPC	4	0.5393036072144288
8666	01	fear	Cordaro2008IPC	5	0.598183325795266
27	01	happy	Cordaro2008IPC	1	0.6877586206896552
2187	01	happy	Cordaro2008IPC	2	0.6657509968985378
4347	01	happy	Cordaro2008IPC	3	0.7418823964497041
6507	01	happy	Cordaro2008IPC	4	0.7589581372651539
8667	01	happy	Cordaro2008IPC	5	0.8005426889857067
28	01	sadness	Cordaro2008IPC	1	0.5426136363636364
2188	01	sadness	Cordaro2008IPC	2	0.43904958677685946
4348	01	sadness	Cordaro2008IPC	3	0.6616646658663465
6508	01	sadness	Cordaro2008IPC	4	0.8704402515723271
8668	01	sadness	Cordaro2008IPC	5	0.8745210727969348
29	01	surprise	Cordaro2008IPC	1	0.74609375
2189	01	surprise	Cordaro2008IPC	2	0.6877201332698716
4349	01	surprise	Cordaro2008IPC	3	0.7860969387755101
6509	01	surprise	Cordaro2008IPC	4	0.8250791139240505
8669	01	surprise	Cordaro2008IPC	5	0.8237433355477201
60	02	anger	Cordaro2008IPC	1	0.6355046814341174
2220	02	anger	Cordaro2008IPC	2	0.6361548898862331
4380	02	anger	Cordaro2008IPC	3	0.6658527561968184
6540	02	anger	Cordaro2008IPC	4	0.6073853484216796
8700	02	anger	Cordaro2008IPC	5	0.5404284199704427
61	02	disgust	Cordaro2008IPC	1	0.6479690522243714
2221	02	disgust	Cordaro2008IPC	2	0.7123004354136431
4381	02	disgust	Cordaro2008IPC	3	0.7779734131525663
6541	02	disgust	Cordaro2008IPC	4	0.7358814461883408
8701	02	disgust	Cordaro2008IPC	5	0.7308653319147563
62	02	fear	Cordaro2008IPC	1	0.7494673295454546
2222	02	fear	Cordaro2008IPC	2	0.5338235294117647
4382	02	fear	Cordaro2008IPC	3	0.7172730099502487
6542	02	fear	Cordaro2008IPC	4	0.6732533358042994
8702	02	fear	Cordaro2008IPC	5	0.7639338591393385
63	02	happy	Cordaro2008IPC	1	0.7176479378362223
2223	02	happy	Cordaro2008IPC	2	0.8612299465240643
4383	02	happy	Cordaro2008IPC	3	0.7865339881106229
6543	02	happy	Cordaro2008IPC	4	0.8286887869412141
8703	02	happy	Cordaro2008IPC	5	0.875134884187809
64	02	sadness	Cordaro2008IPC	1	0.7083105522143247
2224	02	sadness	Cordaro2008IPC	2	0.6535019455252918
4384	02	sadness	Cordaro2008IPC	3	0.6086309523809523
6544	02	sadness	Cordaro2008IPC	4	0.7376312521169696
8704	02	sadness	Cordaro2008IPC	5	0.7472015915119363
65	02	surprise	Cordaro2008IPC	1	0.7927291088109063
2225	02	surprise	Cordaro2008IPC	2	0.7931418830317335
4385	02	surprise	Cordaro2008IPC	3	0.859906976744186
6545	02	surprise	Cordaro2008IPC	4	0.8599284436493739
8705	02	surprise	Cordaro2008IPC	5	0.830204976001113
96	03	anger	Cordaro2008IPC	1	0.5623669646658153
2256	03	anger	Cordaro2008IPC	2	0.546351575456053
4416	03	anger	Cordaro2008IPC	3	0.5000341530054645
6576	03	anger	Cordaro2008IPC	4	0.5969118537527753
8736	03	anger	Cordaro2008IPC	5	0.6141545405026846
97	03	disgust	Cordaro2008IPC	1	0.6307485495967172
2257	03	disgust	Cordaro2008IPC	2	0.6975138121546961
4417	03	disgust	Cordaro2008IPC	3	0.7842555994729908
6577	03	disgust	Cordaro2008IPC	4	0.7607276973804726
8737	03	disgust	Cordaro2008IPC	5	0.8076324478936632
98	03	fear	Cordaro2008IPC	1	0.4596257147808006
2258	03	fear	Cordaro2008IPC	2	0.523335190860964
4418	03	fear	Cordaro2008IPC	3	0.5465728715728715
6578	03	fear	Cordaro2008IPC	4	0.575834879406308
8738	03	fear	Cordaro2008IPC	5	0.5638307201234698
99	03	happy	Cordaro2008IPC	1	0.631935586734694
2259	03	happy	Cordaro2008IPC	2	0.7672470978441127
4419	03	happy	Cordaro2008IPC	3	0.6917349726775955
6579	03	happy	Cordaro2008IPC	4	0.7900164617023336
8739	03	happy	Cordaro2008IPC	5	0.8082567636549259
100	03	sadness	Cordaro2008IPC	1	0.7232356734844297
2260	03	sadness	Cordaro2008IPC	2	0.5427471116816431
4420	03	sadness	Cordaro2008IPC	3	0.6617166768728312
6580	03	sadness	Cordaro2008IPC	4	0.6742839561423137
8740	03	sadness	Cordaro2008IPC	5	0.8121620130228451
