	score	emotion	sub	sub_ethnicity	sub_split	trial_split	face_gender	mapping
0	0.49927295813877287	anger	02EA	EA	train	train	M	Cordaro2018IPC
1	0.5909607958570731	disgust	02EA	EA	train	train	M	Cordaro2018IPC
2	0.5325450067934783	fear	02EA	EA	train	train	M	Cordaro2018IPC
3	0.7637116847400394	happy	02EA	EA	train	train	M	Cordaro2018IPC
4	0.714956840577496	sadness	02EA	EA	train	train	M	Cordaro2018IPC
5	0.6498052475737677	surprise	02EA	EA	train	train	M	Cordaro2018IPC
0	0.5492113400529242	anger	02EA	EA	train	train	F	Cordaro2018IPC
1	0.5940335884957466	disgust	02EA	EA	train	train	F	Cordaro2018IPC
2	0.5537031499202552	fear	02EA	EA	train	train	F	Cordaro2018IPC
3	0.7383356350058821	happy	02EA	EA	train	train	F	Cordaro2018IPC
4	0.6904156631879403	sadness	02EA	EA	train	train	F	Cordaro2018IPC
5	0.58884917603405	surprise	02EA	EA	train	train	F	Cordaro2018IPC
0	0.5214082071747096	anger	02EA	EA	train	train	all	Cordaro2018IPC
1	0.591617663530466	disgust	02EA	EA	train	train	all	Cordaro2018IPC
2	0.5423782814407814	fear	02EA	EA	train	train	all	Cordaro2018IPC
3	0.7452987254889454	happy	02EA	EA	train	train	all	Cordaro2018IPC
4	0.7024455150717727	sadness	02EA	EA	train	train	all	Cordaro2018IPC
5	0.6192481826664977	surprise	02EA	EA	train	train	all	Cordaro2018IPC
0	0.5422291993720565	anger	03EA	EA	train	train	M	Cordaro2018IPC
1	0.6818316013226264	disgust	03EA	EA	train	train	M	Cordaro2018IPC
2	0.5637686163824165	fear	03EA	EA	train	train	M	Cordaro2018IPC
3	0.8011401575854702	happy	03EA	EA	train	train	M	Cordaro2018IPC
4	0.785223953261928	sadness	03EA	EA	train	train	M	Cordaro2018IPC
5	0.7282056051587302	surprise	03EA	EA	train	train	M	Cordaro2018IPC
0	0.5308091323545249	anger	03EA	EA	train	train	F	Cordaro2018IPC
1	0.6344219980902364	disgust	03EA	EA	train	train	F	Cordaro2018IPC
2	0.5382193654779528	fear	03EA	EA	train	train	F	Cordaro2018IPC
3	0.7653022960655359	happy	03EA	EA	train	train	F	Cordaro2018IPC
4	0.7181668660287082	sadness	03EA	EA	train	train	F	Cordaro2018IPC
5	0.646919646919647	surprise	03EA	EA	train	train	F	Cordaro2018IPC
0	0.5389573269718086	anger	03EA	EA	train	train	all	Cordaro2018IPC
1	0.6573999881291548	disgust	03EA	EA	train	train	all	Cordaro2018IPC
2	0.5524232010829949	fear	03EA	EA	train	train	all	Cordaro2018IPC
3	0.7847127390865842	happy	03EA	EA	train	train	all	Cordaro2018IPC
4	0.744552995391705	sadness	03EA	EA	train	train	all	Cordaro2018IPC
5	0.6922832722832722	surprise	03EA	EA	train	train	all	Cordaro2018IPC
0	0.670053412590726	anger	05EA	EA	train	train	M	Cordaro2018IPC
1	0.6473885688295937	disgust	05EA	EA	train	train	M	Cordaro2018IPC
2	0.6385218292524938	fear	05EA	EA	train	train	M	Cordaro2018IPC
3	0.8198657927590511	happy	05EA	EA	train	train	M	Cordaro2018IPC
4	0.7542299557777351	sadness	05EA	EA	train	train	M	Cordaro2018IPC
5	0.8672846069088168	surprise	05EA	EA	train	train	M	Cordaro2018IPC
0	0.6384251530328324	anger	05EA	EA	train	train	F	Cordaro2018IPC
