	sub	emotion	score	tk	kernel	beta
0	01	anger	0.48963254593175853	Darwin	linear	1
1	02	anger	0.6163646356951515	Darwin	linear	1
2	03	anger	0.5334329399530049	Darwin	linear	1
3	04	anger	0.47175725954753456	Darwin	linear	1
4	05	anger	0.4645641188490639	Darwin	linear	1
5	06	anger	0.6289139302168618	Darwin	linear	1
6	07	anger	0.5777663230240551	Darwin	linear	1
7	08	anger	0.5197293314237084	Darwin	linear	1
8	09	anger	0.48883899386732255	Darwin	linear	1
9	10	anger	0.5513478818998716	Darwin	linear	1
10	11	anger	0.5866321243523316	Darwin	linear	1
11	12	anger	0.55271051974013	Darwin	linear	1
12	13	anger	0.44597181492342786	Darwin	linear	1
13	14	anger	0.642049423681453	Darwin	linear	1
14	15	anger	0.3573619478663989	Darwin	linear	1
15	16	anger	0.523890216123118	Darwin	linear	1
16	17	anger	0.4433800317141652	Darwin	linear	1
17	18	anger	0.6195077733860341	Darwin	linear	1
18	19	anger	0.5279028120613716	Darwin	linear	1
19	20	anger	0.3904655818158337	Darwin	linear	1
20	21	anger	0.6012865822662244	Darwin	linear	1
21	22	anger	0.45718986060603	Darwin	linear	1
22	23	anger	0.4985750920768271	Darwin	linear	1
23	24	anger	0.5334628360264944	Darwin	linear	1
24	25	anger	0.565271339696868	Darwin	linear	1
25	26	anger	0.42518749149585	Darwin	linear	1
26	27	anger	0.44852239804671096	Darwin	linear	1
27	28	anger	0.5268216250894465	Darwin	linear	1
28	29	anger	0.4745259863778609	Darwin	linear	1
29	30	anger	0.5265509398312873	Darwin	linear	1
30	31	anger	0.5725417574437183	Darwin	linear	1
31	32	anger	0.5684688416963966	Darwin	linear	1
32	33	anger	0.5232257146065253	Darwin	linear	1
33	34	anger	0.5610717100078801	Darwin	linear	1
34	35	anger	0.5940746268656717	Darwin	linear	1
35	36	anger	0.5161091542909378	Darwin	linear	1
36	37	anger	0.5408707868727023	Darwin	linear	1
37	38	anger	0.43807916065383323	Darwin	linear	1
38	39	anger	0.5374407483973355	Darwin	linear	1
39	40	anger	0.4549994031988541	Darwin	linear	1
40	41	anger	0.4496859612742462	Darwin	linear	1
41	42	anger	0.41955308234066596	Darwin	linear	1
42	43	anger	0.47161460851626213	Darwin	linear	1
43	44	anger	0.5459485144086983	Darwin	linear	1
44	45	anger	0.48647956456116703	Darwin	linear	1
45	46	anger	0.5209624444543522	Darwin	linear	1
46	47	anger	0.5540332593783712	Darwin	linear	1
47	48	anger	0.4720660562953995	Darwin	linear	1
48	49	anger	0.49241757073558295	Darwin	linear	1
49	50	anger	0.5673037711819214	Darwin	linear	1
50	51	anger	0.5068815513626834	Darwin	linear	1
51	52	anger	0.5138980342971473	Darwin	linear	1
52	53	anger	0.4602658331221312	Darwin	linear	1
53	54	anger	0.5510153368278004	Darwin	linear	1
54	55	anger	0.47655358982150536	Darwin	linear	1
55	56	anger	0.6447203206469692	Darwin	linear	1
56	57	anger	0.5816850275413119	Darwin	linear	1
57	58	anger	0.5348685669920141	Darwin	linear	1
58	59	anger	0.4935134744468836	Darwin	linear	1
59	60	anger	0.5888990514344364	Darwin	linear	1
60	01	disgust	0.6478816493171616	Darwin	linear	1
61	02	disgust	0.6402899234560134	Darwin	linear	1
62	03	disgust	0.6787700329729316	Darwin	linear	1
63	04	disgust	0.5878640161707229	Darwin	linear	1
64	05	disgust	0.6418463734039878	Darwin	linear	1
65	06	disgust	0.7128547853280938	Darwin	linear	1
66	07	disgust	0.6767521849013112	Darwin	linear	1
67	08	disgust	0.6261252062878194	Darwin	linear	1
68	09	disgust	0.6155459410619961	Darwin	linear	1
69	10	disgust	0.7149196279819117	Darwin	linear	1
70	11	disgust	0.7200124897315965	Darwin	linear	1
71	12	disgust	0.653939787603703	Darwin	linear	1
72	13	disgust	0.737651978703115	Darwin	linear	1
73	14	disgust	0.7517373530914665	Darwin	linear	1
74	15	disgust	0.7290588252352574	Darwin	linear	1
75	16	disgust	0.5798417176013906	Darwin	linear	1
76	17	disgust	0.6085428792535914	Darwin	linear	1
77	18	disgust	0.6344706899011907	Darwin	linear	1
78	19	disgust	0.6302665241750056	Darwin	linear	1
79	20	disgust	0.5603423340317083	Darwin	linear	1
80	21	disgust	0.6069692385857139	Darwin	linear	1
81	22	disgust	0.5879213848756997	Darwin	linear	1
82	23	disgust	0.6342885258985824	Darwin	linear	1
83	24	disgust	0.7278489059924899	Darwin	linear	1
84	25	disgust	0.6497868665711242	Darwin	linear	1
85	26	disgust	0.6165156427961747	Darwin	linear	1
86	27	disgust	0.6269095795337429	Darwin	linear	1
87	28	disgust	0.6121269318931973	Darwin	linear	1
88	29	disgust	0.7448712822139183	Darwin	linear	1
89	30	disgust	0.5709770031257887	Darwin	linear	1
90	31	disgust	0.6622556238990441	Darwin	linear	1
91	32	disgust	0.6782106636475569	Darwin	linear	1
92	33	disgust	0.613115767636975	Darwin	linear	1
93	34	disgust	0.7430404927331145	Darwin	linear	1
94	35	disgust	0.6132141605327726	Darwin	linear	1
95	36	disgust	0.5215717947936457	Darwin	linear	1
96	37	disgust	0.6760973413793874	Darwin	linear	1
97	38	disgust	0.5613510885250016	Darwin	linear	1
98	39	disgust	0.6506147540983607	Darwin	linear	1
99	40	disgust	0.5949062642889803	Darwin	linear	1
100	41	disgust	0.5369616742080074	Darwin	linear	1
101	42	disgust	0.5783804915287628	Darwin	linear	1
102	43	disgust	0.6025429225592212	Darwin	linear	1
103	44	disgust	0.6634858902695598	Darwin	linear	1
104	45	disgust	0.6063874775484093	Darwin	linear	1
105	46	disgust	0.5665180865172257	Darwin	linear	1
106	47	disgust	0.7291806375738165	Darwin	linear	1
107	48	disgust	0.5775306556556556	Darwin	linear	1
108	49	disgust	0.6108693238118017	Darwin	linear	1
109	50	disgust	0.7432095030285251	Darwin	linear	1
110	51	disgust	0.7621920201707435	Darwin	linear	1
111	52	disgust	0.6134384323621338	Darwin	linear	1
112	53	disgust	0.6307931350133373	Darwin	linear	1
113	54	disgust	0.5955486666466989	Darwin	linear	1
114	55	disgust	0.7111965952933035	Darwin	linear	1
115	56	disgust	0.7053885772744911	Darwin	linear	1
116	57	disgust	0.6928911206458473	Darwin	linear	1
117	58	disgust	0.6243741830215892	Darwin	linear	1
118	59	disgust	0.6371425688919636	Darwin	linear	1
119	60	disgust	0.6062224651532927	Darwin	linear	1
120	01	fear	0.496556190914369	Darwin	linear	1
121	02	fear	0.684504624491306	Darwin	linear	1
122	03	fear	0.5683850384114856	Darwin	linear	1
123	04	fear	0.5787613771937591	Darwin	linear	1
124	05	fear	0.48431059284063577	Darwin	linear	1
125	06	fear	0.6616840838545616	Darwin	linear	1
126	07	fear	0.5031218529707956	Darwin	linear	1
127	08	fear	0.5959661056516243	Darwin	linear	1
128	09	fear	0.5461868896915556	Darwin	linear	1
129	10	fear	0.596112862407317	Darwin	linear	1
130	11	fear	0.5018528733613785	Darwin	linear	1
131	12	fear	0.6091025122579993	Darwin	linear	1
132	13	fear	0.5396422046646262	Darwin	linear	1
133	14	fear	0.5973603845677424	Darwin	linear	1
134	15	fear	0.5178527090326555	Darwin	linear	1
135	16	fear	0.4976630134463068	Darwin	linear	1
136	17	fear	0.478857894426886	Darwin	linear	1
137	18	fear	0.5731026127109643	Darwin	linear	1
138	19	fear	0.47539048737522016	Darwin	linear	1
139	20	fear	0.4983772953040337	Darwin	linear	1
140	21	fear	0.42174770414967805	Darwin	linear	1
141	22	fear	0.4588002903856871	Darwin	linear	1
142	23	fear	0.5182601880877743	Darwin	linear	1
143	24	fear	0.5011159149845809	Darwin	linear	1
144	25	fear	0.5407390492428856	Darwin	linear	1
145	26	fear	0.5157026587086272	Darwin	linear	1
146	27	fear	0.5098362158801719	Darwin	linear	1
147	28	fear	0.5286097685658518	Darwin	linear	1
148	29	fear	0.4863579776225082	Darwin	linear	1
149	30	fear	0.5275629285954228	Darwin	linear	1
150	31	fear	0.5390143161514596	Darwin	linear	1
151	32	fear	0.41772753182595473	Darwin	linear	1
152	33	fear	0.5763180092247185	Darwin	linear	1
153	34	fear	0.44948643841707425	Darwin	linear	1
154	35	fear	0.6229013623388395	Darwin	linear	1
155	36	fear	0.5179014113567564	Darwin	linear	1
156	37	fear	0.4949782566841978	Darwin	linear	1
157	38	fear	0.574632428380591	Darwin	linear	1
158	39	fear	0.5202906269020084	Darwin	linear	1
159	40	fear	0.5697968910884512	Darwin	linear	1
160	41	fear	0.5729925505206405	Darwin	linear	1
161	42	fear	0.4652204819130709	Darwin	linear	1
162	43	fear	0.39687304026088044	Darwin	linear	1
163	44	fear	0.4537078555719258	Darwin	linear	1
164	45	fear	0.5441775754465937	Darwin	linear	1
165	46	fear	0.4756683921313999	Darwin	linear	1
166	47	fear	0.5064508100643876	Darwin	linear	1
167	48	fear	0.563010101010101	Darwin	linear	1
168	49	fear	0.46470518183306786	Darwin	linear	1
169	50	fear	0.4736125554156861	Darwin	linear	1
170	51	fear	0.5147641643562949	Darwin	linear	1
171	52	fear	0.4703452158279914	Darwin	linear	1
172	53	fear	0.5291987324581258	Darwin	linear	1
173	54	fear	0.3924339345637584	Darwin	linear	1
174	55	fear	0.6003596164091636	Darwin	linear	1
175	56	fear	0.5563252882464291	Darwin	linear	1
176	57	fear	0.531455381435285	Darwin	linear	1
177	58	fear	0.582852428628174	Darwin	linear	1
178	59	fear	0.4753111471861472	Darwin	linear	1
179	60	fear	0.5220258032856108	Darwin	linear	1
180	01	happy	0.773400456594275	Darwin	linear	1
181	02	happy	0.8379400057236517	Darwin	linear	1
182	03	happy	0.7908829025225786	Darwin	linear	1
183	04	happy	0.7797503770480565	Darwin	linear	1
184	05	happy	0.7795867168416188	Darwin	linear	1
185	06	happy	0.8326283052505363	Darwin	linear	1
186	07	happy	0.7488073550088354	Darwin	linear	1
187	08	happy	0.7869358547107907	Darwin	linear	1
188	09	happy	0.7771143067670053	Darwin	linear	1
189	10	happy	0.7848085211810417	Darwin	linear	1
190	11	happy	0.804318869043568	Darwin	linear	1
191	12	happy	0.8267729378849706	Darwin	linear	1
192	13	happy	0.8357934642963029	Darwin	linear	1
193	14	happy	0.8132700831953128	Darwin	linear	1
194	15	happy	0.7902391318064231	Darwin	linear	1
195	16	happy	0.6742391825622758	Darwin	linear	1
196	17	happy	0.6884123749315307	Darwin	linear	1
197	18	happy	0.7396662432789287	Darwin	linear	1
198	19	happy	0.7128135859294031	Darwin	linear	1
199	20	happy	0.6830797461579632	Darwin	linear	1
200	21	happy	0.6993651643833512	Darwin	linear	1
201	22	happy	0.5904144944436822	Darwin	linear	1
202	23	happy	0.7618570066279445	Darwin	linear	1
203	24	happy	0.7419192023664232	Darwin	linear	1
204	25	happy	0.7296774057563207	Darwin	linear	1
205	26	happy	0.7996674153036429	Darwin	linear	1
206	27	happy	0.7444851847444516	Darwin	linear	1
207	28	happy	0.770653765781202	Darwin	linear	1
208	29	happy	0.7195452742795998	Darwin	linear	1
209	30	happy	0.6918665295962825	Darwin	linear	1
210	31	happy	0.7860451345920988	Darwin	linear	1
211	32	happy	0.7334450817086989	Darwin	linear	1
212	33	happy	0.7614376685445758	Darwin	linear	1
213	34	happy	0.7785034398265951	Darwin	linear	1
214	35	happy	0.7909308773452137	Darwin	linear	1
215	36	happy	0.7487122598056388	Darwin	linear	1
216	37	happy	0.6929521378841655	Darwin	linear	1
217	38	happy	0.6855534506958268	Darwin	linear	1
218	39	happy	0.7252077941207415	Darwin	linear	1
219	40	happy	0.6679644971520156	Darwin	linear	1
220	41	happy	0.6876856939356939	Darwin	linear	1
221	42	happy	0.7234446137718342	Darwin	linear	1
222	43	happy	0.7094119068130745	Darwin	linear	1
223	44	happy	0.7682119044615041	Darwin	linear	1
224	45	happy	0.7939759586818409	Darwin	linear	1
225	46	happy	0.6875755072309278	Darwin	linear	1
226	47	happy	0.596074945111192	Darwin	linear	1
227	48	happy	0.7050456960680127	Darwin	linear	1
228	49	happy	0.7531470608199837	Darwin	linear	1
229	50	happy	0.6861341565594824	Darwin	linear	1
230	51	happy	0.8030934868350922	Darwin	linear	1
231	52	happy	0.6892073443797581	Darwin	linear	1
232	53	happy	0.7202097010343362	Darwin	linear	1
233	54	happy	0.6982222127822264	Darwin	linear	1
234	55	happy	0.7642877814834211	Darwin	linear	1
235	56	happy	0.7782580220451778	Darwin	linear	1
236	57	happy	0.7402069625181504	Darwin	linear	1
237	58	happy	0.7602214606281255	Darwin	linear	1
238	59	happy	0.7030242468287526	Darwin	linear	1
239	60	happy	0.7554890802081813	Darwin	linear	1
240	01	sadness	0.7830294069328076	Darwin	linear	1
241	02	sadness	0.6399431812872054	Darwin	linear	1
242	03	sadness	0.6657335933357895	Darwin	linear	1
243	04	sadness	0.7035262083049694	Darwin	linear	1
244	05	sadness	0.6786714521649158	Darwin	linear	1
245	06	sadness	0.6640167195650095	Darwin	linear	1
246	07	sadness	0.7376567569937735	Darwin	linear	1
247	08	sadness	0.6428135116975139	Darwin	linear	1
248	09	sadness	0.7207330366064129	Darwin	linear	1
249	10	sadness	0.7339097233328002	Darwin	linear	1
250	11	sadness	0.6201462556236201	Darwin	linear	1
251	12	sadness	0.7134940899385882	Darwin	linear	1
252	13	sadness	0.7161790266512167	Darwin	linear	1
253	14	sadness	0.7438589424772045	Darwin	linear	1
254	15	sadness	0.7504835843054587	Darwin	linear	1
255	16	sadness	0.605319833062103	Darwin	linear	1
256	17	sadness	0.6194572868991475	Darwin	linear	1
257	18	sadness	0.6775531590327245	Darwin	linear	1
258	19	sadness	0.5952622093613564	Darwin	linear	1
259	20	sadness	0.6305043459004596	Darwin	linear	1
260	21	sadness	0.6393657479926055	Darwin	linear	1
261	22	sadness	0.625530327478143	Darwin	linear	1
262	23	sadness	0.6529047223376263	Darwin	linear	1
263	24	sadness	0.6495482829545158	Darwin	linear	1
264	25	sadness	0.60978334184977	Darwin	linear	1
265	26	sadness	0.6898017576129164	Darwin	linear	1
266	27	sadness	0.7201638008786477	Darwin	linear	1
267	28	sadness	0.6491741013484895	Darwin	linear	1
268	29	sadness	0.7078503000201283	Darwin	linear	1
269	30	sadness	0.6385386041651728	Darwin	linear	1
270	31	sadness	0.6527865692838304	Darwin	linear	1
271	32	sadness	0.7036377569419401	Darwin	linear	1
